batch,tokens,loss,r_i,k,clusters,l_eff,l_dom,l_rel,l_div
20,5355,0.048313,0.498708,1,9,0.279662,0.281715,0.173217,0.265406
40,10797,0.000000,0.500230,1,11,0.283575,0.287936,0.151577,0.276912
60,14593,0.000000,0.500070,1,11,0.284675,0.288073,0.148479,0.278774
80,19856,0.000000,0.500963,1,17,0.284020,0.288513,0.146881,0.280586
100,25175,0.000000,0.499622,1,20,0.283663,0.287060,0.146440,0.282837
120,30105,0.000000,0.501379,1,18,0.284036,0.286794,0.146532,0.282638
140,35901,0.000000,0.504846,1,22,0.282826,0.287981,0.146015,0.283177
160,40646,0.000000,0.503519,1,10,0.284412,0.288595,0.146666,0.280327
180,45412,0.000000,0.506780,1,14,0.283797,0.289852,0.146411,0.279940
200,49255,0.000000,0.504536,1,22,0.282939,0.289179,0.146058,0.281825
220,54952,0.000000,0.520339,1,18,0.282845,0.289016,0.146019,0.282120
240,60084,0.000000,0.522890,1,21,0.282550,0.289339,0.145897,0.282215
260,65519,0.000000,0.519741,1,11,0.283630,0.290057,0.146342,0.279970
280,70711,0.000000,0.506680,1,15,0.283519,0.290116,0.146297,0.280068
300,76333,0.000000,0.509522,1,19,0.283211,0.288442,0.146170,0.282178
320,82243,0.000000,0.503464,1,17,0.283687,0.289174,0.146366,0.280773
340,87654,0.000000,0.504866,1,25,0.282790,0.288583,0.145996,0.282632
360,92791,0.000000,0.509906,1,18,0.284368,0.284620,0.146646,0.284366
380,95700,0.000000,0.513676,1,29,0.283165,0.286927,0.146150,0.283758
400,101219,0.000000,0.514783,1,37,0.282360,0.286830,0.145819,0.284990
420,105931,0.000000,0.513647,1,33,0.282269,0.287176,0.145781,0.284774
440,111717,0.000000,0.522627,1,44,0.282216,0.286443,0.145759,0.285581
460,117350,0.000000,0.560823,1,24,0.282399,0.286784,0.145835,0.284982
480,121064,0.000000,0.534434,1,28,0.283719,0.283933,0.146379,0.285969
500,127064,0.000000,0.518813,1,36,0.283950,0.282762,0.146474,0.286814
520,133641,0.000000,0.522983,1,21,0.283697,0.286240,0.146370,0.283694
540,138619,0.000000,0.540754,1,31,0.282530,0.287587,0.145889,0.283994
560,143228,0.000000,0.571009,1,26,0.282202,0.288367,0.145754,0.283677
580,148327,0.000000,0.573460,1,32,0.282396,0.287121,0.145833,0.284649
600,154739,0.000000,0.593552,1,41,0.281828,0.287382,0.145599,0.285191
620,160889,0.000000,0.602063,1,19,0.282622,0.288846,0.145927,0.282606
640,167621,0.000000,0.686700,1,28,0.282056,0.288892,0.145693,0.283358
660,173211,0.000000,0.662703,1,17,0.282707,0.288138,0.145962,0.283194
680,179659,0.000000,0.633599,1,26,0.282599,0.288122,0.145917,0.283362
700,185351,0.000000,0.687184,1,33,0.281900,0.288346,0.145629,0.284126
720,190259,0.000000,0.791370,1,28,0.281906,0.288855,0.145631,0.283607
740,196999,0.000000,0.765941,1,38,0.281661,0.288297,0.145530,0.284512
760,203125,0.000000,0.736822,1,19,0.282914,0.286823,0.146047,0.284216
780,209435,0.000000,0.696173,1,25,0.282378,0.288678,0.145826,0.283119
800,215444,0.000000,0.751228,1,34,0.281966,0.288316,0.145656,0.284062
820,220348,0.000000,0.713714,1,26,0.282072,0.288674,0.145700,0.283555
840,224572,0.000000,0.609377,1,30,0.283159,0.285779,0.146148,0.284914
860,230520,0.000000,0.788361,1,20,0.282631,0.288209,0.145930,0.283230
880,236716,0.000000,0.739559,1,28,0.282265,0.288117,0.145780,0.283838
900,242277,0.000000,0.567788,1,29,0.282337,0.287405,0.145809,0.284448
920,247027,0.000000,0.809812,1,23,0.282706,0.289326,0.145961,0.282006
940,250988,0.000000,0.640403,1,28,0.282135,0.289133,0.145726,0.283007
960,257705,0.000000,0.684505,1,20,0.282182,0.289198,0.145745,0.282875
980,261328,0.000000,0.822669,1,33,0.282208,0.288069,0.145756,0.283967
1000,266451,0.000000,0.739985,1,39,0.282229,0.286916,0.145765,0.285090
1020,273242,0.000000,0.552196,1,23,0.283146,0.286119,0.146143,0.284592
1040,278415,0.000000,0.610657,1,29,0.282319,0.287645,0.145802,0.284234
1060,284364,0.000000,0.503463,1,7,0.284440,0.289157,0.146676,0.279727
1080,290217,0.000000,0.586685,1,13,0.285368,0.289061,0.147059,0.278512
1100,296964,0.000000,0.525582,1,13,0.284568,0.287813,0.146729,0.280890
1120,302476,0.000000,0.523074,1,14,0.284625,0.290665,0.146753,0.277958
1140,307988,0.000000,0.624386,1,20,0.283290,0.289034,0.146202,0.281474
1160,314295,0.000000,0.733192,1,21,0.283490,0.287397,0.146284,0.282829
1180,318441,0.000000,0.721618,1,30,0.282386,0.288229,0.145829,0.283556
1200,322927,0.000000,0.704039,1,39,0.282067,0.287447,0.145698,0.284788
1220,328048,0.000000,0.718809,1,31,0.281751,0.288518,0.145568,0.284163
1240,333800,0.000000,0.717988,1,42,0.281449,0.288463,0.145443,0.284645
1260,339789,0.000000,0.743333,1,23,0.281803,0.288941,0.145589,0.283666
1280,344295,0.000000,0.585252,1,26,0.282538,0.287475,0.145892,0.284094
1300,348893,0.000000,0.574704,1,27,0.282714,0.286823,0.145965,0.284498
1320,354654,0.000000,0.802341,1,21,0.283189,0.289139,0.146160,0.281512
1340,360424,0.000000,0.704253,1,28,0.282034,0.288971,0.145684,0.283311
1360,366745,0.000000,0.774541,1,22,0.282117,0.289043,0.145718,0.283122
1380,372080,0.000000,0.525174,1,22,0.282986,0.287000,0.146077,0.283938
1400,378462,0.000000,0.709113,1,30,0.282153,0.288392,0.145733,0.283722
1420,383588,0.000000,0.833536,1,23,0.282507,0.289308,0.145879,0.282307
1440,389827,0.000000,0.774657,1,33,0.282155,0.288220,0.145734,0.283892
1460,395283,0.000000,0.769923,1,23,0.282280,0.288955,0.145785,0.282979
1480,401056,0.000000,0.839214,1,36,0.281615,0.288683,0.145511,0.284190
1500,406535,0.000000,0.512771,1,36,0.282766,0.285304,0.145986,0.285944
1520,413086,0.000000,0.702083,1,18,0.283777,0.289598,0.146403,0.280222
1540,418349,0.000000,0.763227,1,28,0.283143,0.287245,0.146141,0.283471
1560,424174,0.000000,0.706500,1,22,0.283310,0.286636,0.146210,0.283843
1580,431227,0.000000,0.809964,1,30,0.282132,0.288088,0.145725,0.284055
1600,437682,0.000000,0.789948,1,39,0.281613,0.288176,0.145511,0.284701
1620,443639,0.000000,0.832611,1,24,0.282245,0.289171,0.145771,0.282813
1640,449484,0.000000,0.824180,1,33,0.281982,0.288383,0.145663,0.283972
1660,454770,0.000000,0.809957,1,27,0.281852,0.288776,0.145609,0.283763
1680,459372,0.000000,0.813657,1,33,0.282227,0.287393,0.145764,0.284617
1700,465111,0.000000,0.811794,1,42,0.281512,0.288134,0.145469,0.284885
1720,471518,0.000000,0.705600,1,23,0.282584,0.288131,0.145911,0.283374
1740,477680,0.000000,0.651689,1,29,0.283149,0.285592,0.146144,0.285114
1760,482524,0.000000,0.717426,1,18,0.283016,0.287394,0.146089,0.283501
1780,487446,0.000000,0.709161,1,25,0.282434,0.288555,0.145849,0.283162
1800,493168,0.000000,0.624326,1,28,0.281940,0.288551,0.145645,0.283864
1820,498502,0.000000,0.658929,1,17,0.283055,0.289512,0.146105,0.281327
1840,504078,0.000000,0.639358,1,23,0.282711,0.288254,0.145963,0.283072
1860,509231,0.000000,0.788149,1,24,0.282470,0.288404,0.145864,0.283262
1880,513797,0.000000,0.694579,1,31,0.281990,0.288446,0.145666,0.283898
1900,519705,0.000000,0.755625,1,40,0.281542,0.288525,0.145481,0.284451
1920,524841,0.000000,0.612844,1,19,0.283348,0.287083,0.146226,0.283343
1940,531424,0.000000,0.589786,1,22,0.282522,0.288736,0.145886,0.282856
1960,537795,0.000000,0.833020,1,19,0.282889,0.289461,0.146037,0.281613
1980,543957,0.000000,0.691712,1,24,0.282258,0.289137,0.145777,0.282828
2000,550278,0.000000,0.730322,1,32,0.282004,0.288126,0.145672,0.284199
2020,554031,0.000000,0.708171,1,21,0.282774,0.287838,0.145989,0.283399
2040,560195,0.000000,0.720736,1,31,0.282260,0.287827,0.145777,0.284137
2060,564117,0.000000,0.717518,1,21,0.282515,0.289001,0.145882,0.282602
2080,569727,0.000000,0.593301,1,23,0.282584,0.288369,0.145911,0.283135
2100,572794,0.000000,0.861646,1,38,0.282008,0.288606,0.145673,0.283712
2120,576347,0.000000,0.574414,1,24,0.282313,0.288034,0.145799,0.283854
2140,581675,0.000000,0.660603,1,33,0.281878,0.288490,0.145620,0.284012
2160,587506,0.000000,0.649548,1,16,0.282298,0.289359,0.145793,0.282550
2180,593230,0.000000,0.729546,1,26,0.282797,0.287947,0.145999,0.283257
2200,600221,0.000000,0.610542,1,29,0.282484,0.287082,0.145870,0.284565
2220,604159,0.000000,0.560283,1,14,0.284860,0.286203,0.146850,0.282087
2240,608520,0.000000,0.683627,1,22,0.283732,0.286941,0.146384,0.282943
2260,614795,0.000000,0.678580,1,21,0.284057,0.285640,0.146518,0.283785
2280,620145,0.000000,0.843018,1,30,0.282602,0.287535,0.145918,0.283945
2300,626455,0.000000,0.818484,1,42,0.281679,0.288145,0.145538,0.284639
2320,632178,0.000000,0.776909,1,32,0.281848,0.288820,0.145607,0.283725
2340,638113,0.000000,0.827076,1,39,0.281486,0.288560,0.145458,0.284495
2360,643854,0.000000,0.730851,1,20,0.282766,0.286924,0.145986,0.284324
2380,648687,0.000000,0.705448,1,29,0.282108,0.288089,0.145715,0.284088
2400,655068,0.000000,0.672281,1,37,0.282084,0.287321,0.145705,0.284891
2420,659461,0.000000,0.630970,1,18,0.283285,0.287100,0.146200,0.283415
2440,664698,0.000000,0.717179,1,28,0.282494,0.288266,0.145874,0.283367
2460,671349,0.000000,0.829816,1,24,0.282150,0.288872,0.145732,0.283247
2480,677392,0.000000,0.570394,1,26,0.282571,0.287527,0.145906,0.283997
2500,684031,0.000000,0.635516,1,31,0.281972,0.288268,0.145659,0.284102
2520,689548,0.000000,0.764552,1,19,0.283160,0.288958,0.146149,0.281733
2540,695823,0.000000,0.787717,1,27,0.283029,0.286699,0.146094,0.284177
2560,701354,0.000000,0.708636,1,19,0.282827,0.288213,0.146011,0.282949
2580,705960,0.000000,0.848936,1,32,0.281978,0.288584,0.145661,0.283777
2600,712678,0.000000,0.719621,1,37,0.281680,0.288070,0.145538,0.284712
2620,717660,0.000000,0.669843,1,17,0.283267,0.288496,0.146193,0.282045
2640,723172,0.000000,0.860547,1,34,0.282134,0.288878,0.145725,0.283263
2660,727061,0.000000,0.687900,1,25,0.281888,0.288201,0.145624,0.284287
2680,732337,0.000000,0.718539,1,34,0.281928,0.288174,0.145641,0.284257
2700,738521,0.000000,0.822437,1,46,0.281851,0.287085,0.145609,0.285455
2720,744754,0.000000,0.683106,1,28,0.282409,0.287302,0.145839,0.284450
2740,750084,0.000000,0.808366,1,41,0.282092,0.286924,0.145708,0.285275
2760,754761,0.000000,0.739244,1,25,0.282414,0.287214,0.145841,0.284531
2780,758709,0.000000,0.775023,1,36,0.281875,0.288277,0.145619,0.284229
2800,764042,0.000000,0.693571,1,41,0.282007,0.286968,0.145673,0.285352
2820,768258,0.000000,0.753026,1,31,0.281836,0.288421,0.145603,0.284140
2840,772791,0.000000,0.833262,1,44,0.281531,0.288222,0.145477,0.284771
2860,776775,0.000000,0.706696,1,26,0.281496,0.288432,0.145462,0.284610
2880,783057,0.000000,0.770483,1,41,0.282045,0.287139,0.145689,0.285127
2900,789048,0.000000,0.681816,1,46,0.281524,0.287589,0.145474,0.285412
2920,795380,0.000000,0.663040,1,22,0.282835,0.288600,0.146014,0.282551
2940,800476,0.000000,0.766207,1,33,0.281992,0.288398,0.145667,0.283943
2960,806707,0.000000,0.710450,1,24,0.282318,0.287651,0.145801,0.284229
2980,812322,0.000000,0.635733,1,30,0.282057,0.288192,0.145694,0.284058
3000,818448,0.000000,0.680764,1,32,0.282512,0.286469,0.145881,0.285137
3020,824159,0.000000,0.632442,1,15,0.285091,0.289251,0.146945,0.278713
3040,830012,0.000000,0.591438,1,21,0.283252,0.288706,0.146186,0.281856
3060,837042,0.000000,0.645594,1,21,0.282689,0.288666,0.145954,0.282690
3080,842548,0.000000,0.694661,1,27,0.282142,0.288672,0.145729,0.283458
3100,848656,0.000000,0.766437,1,37,0.281557,0.288573,0.145487,0.284383
3120,854507,0.000000,0.742010,1,20,0.282280,0.289282,0.145786,0.282652
3140,860549,0.000000,0.775311,1,28,0.282034,0.289021,0.145684,0.283261
3160,865209,0.000000,0.605677,1,14,0.283627,0.286811,0.146341,0.283221
3180,871317,0.000000,0.511308,1,16,0.283665,0.287747,0.146357,0.282231
3200,876749,0.000000,0.521809,1,26,0.282403,0.288744,0.145836,0.283017
3220,880590,0.000000,0.521729,1,23,0.283464,0.286666,0.146274,0.283596
3240,885225,0.000000,0.550214,1,34,0.282290,0.287869,0.145790,0.284051
3260,891527,0.000000,0.629166,1,26,0.282018,0.288312,0.145678,0.283993
3280,897535,0.000000,0.730169,1,37,0.281931,0.287818,0.145641,0.284610
3300,902785,0.000000,0.521570,1,38,0.282806,0.285102,0.146003,0.286089
3320,908672,0.000000,0.537257,1,20,0.283318,0.287462,0.146214,0.283006
3340,914053,0.000000,0.529933,1,28,0.282535,0.287975,0.145891,0.283599
3360,920353,0.000000,0.687643,1,17,0.282391,0.289268,0.145831,0.282510
3380,925744,0.000000,0.536566,1,19,0.283098,0.288131,0.146123,0.282647
3400,932594,0.000000,0.587536,1,22,0.282720,0.287893,0.145967,0.283420
3420,938243,0.000000,0.616174,1,16,0.283562,0.289861,0.146314,0.280263
3440,944894,0.000000,0.559569,1,22,0.283519,0.286795,0.146296,0.283390
3460,949905,0.000000,0.609750,1,16,0.282851,0.289422,0.146021,0.281706
3480,956086,0.000000,0.716129,1,25,0.282489,0.288466,0.145872,0.283173
3500,962552,0.000000,0.627406,1,31,0.281937,0.288477,0.145644,0.283942
3520,969106,0.000000,0.569044,1,19,0.283092,0.290073,0.146120,0.280715
3540,975298,0.000000,0.703584,1,33,0.281937,0.289068,0.145644,0.283350
3560,981050,0.000000,0.740131,1,27,0.282327,0.287930,0.145805,0.283938
3580,986402,0.000000,0.734844,1,36,0.282626,0.286349,0.145928,0.285096
3600,991427,0.000000,0.677510,1,43,0.281564,0.287946,0.145490,0.284999
3620,997420,0.000000,0.639475,1,22,0.282740,0.287826,0.145975,0.283458
